L1Seed,PileUp,Total,Prescale0,Fired0,
L1_BPTX_AND_Ref4_VME,14,13,0,0,
L1_BPTX_AND_Ref4_VME,15,40,0,0,
L1_BPTX_AND_Ref4_VME,16,61,0,0,
L1_BPTX_AND_Ref4_VME,17,131,0,0,
L1_BPTX_AND_Ref4_VME,18,196,0,0,
L1_BPTX_AND_Ref4_VME,19,369,0,0,
L1_BPTX_AND_Ref4_VME,20,554,0,0,
L1_BPTX_AND_Ref4_VME,21,894,0,0,
L1_BPTX_AND_Ref4_VME,22,1257,0,0,
L1_BPTX_AND_Ref4_VME,23,1801,0,0,
L1_BPTX_AND_Ref4_VME,24,2488,0,0,
L1_BPTX_AND_Ref4_VME,25,3360,0,0,
L1_BPTX_AND_Ref4_VME,26,4212,0,0,
L1_BPTX_AND_Ref4_VME,27,5258,0,0,
L1_BPTX_AND_Ref4_VME,28,6267,0,0,
L1_BPTX_AND_Ref4_VME,29,7494,0,0,
L1_BPTX_AND_Ref4_VME,30,8787,0,0,
L1_BPTX_AND_Ref4_VME,31,10034,0,0,
L1_BPTX_AND_Ref4_VME,32,10822,0,0,
L1_BPTX_AND_Ref4_VME,33,11891,0,0,
L1_BPTX_AND_Ref4_VME,34,12611,0,0,
L1_BPTX_AND_Ref4_VME,35,13494,0,0,
L1_BPTX_AND_Ref4_VME,36,13925,0,0,
L1_BPTX_AND_Ref4_VME,37,14344,0,0,
L1_BPTX_AND_Ref4_VME,38,15075,0,0,
L1_BPTX_AND_Ref4_VME,39,15171,0,0,
L1_BPTX_AND_Ref4_VME,40,15322,0,0,
L1_BPTX_AND_Ref4_VME,41,15535,0,0,
L1_BPTX_AND_Ref4_VME,42,15661,0,0,
L1_BPTX_AND_Ref4_VME,43,15655,0,0,
L1_BPTX_AND_Ref4_VME,44,15636,0,0,
L1_BPTX_AND_Ref4_VME,45,15745,0,0,
L1_BPTX_AND_Ref4_VME,46,15820,0,0,
L1_BPTX_AND_Ref4_VME,47,15553,0,0,
L1_BPTX_AND_Ref4_VME,48,15944,0,0,
L1_BPTX_AND_Ref4_VME,49,16118,0,0,
L1_BPTX_AND_Ref4_VME,50,15778,0,0,
L1_BPTX_AND_Ref4_VME,51,16040,0,0,
L1_BPTX_AND_Ref4_VME,52,15765,0,0,
L1_BPTX_AND_Ref4_VME,53,15927,0,0,
L1_BPTX_AND_Ref4_VME,54,15746,0,0,
L1_BPTX_AND_Ref4_VME,55,15822,0,0,
L1_BPTX_AND_Ref4_VME,56,15842,0,0,
L1_BPTX_AND_Ref4_VME,57,15726,0,0,
L1_BPTX_AND_Ref4_VME,58,15841,0,0,
L1_BPTX_AND_Ref4_VME,59,15676,0,0,
L1_BPTX_AND_Ref4_VME,60,15687,0,0,
L1_BPTX_AND_Ref4_VME,61,15952,0,0,
L1_BPTX_AND_Ref4_VME,62,15417,0,0,
L1_BPTX_AND_Ref4_VME,63,15535,0,0,
L1_BPTX_AND_Ref4_VME,64,15354,0,0,
L1_BPTX_AND_Ref4_VME,65,15273,0,0,
L1_BPTX_AND_Ref4_VME,66,15030,0,0,
L1_BPTX_AND_Ref4_VME,67,14804,0,0,
L1_BPTX_AND_Ref4_VME,68,14539,0,0,
L1_BPTX_AND_Ref4_VME,69,14428,0,0,
L1_BPTX_AND_Ref4_VME,70,13971,0,0,
L1_BPTX_AND_Ref4_VME,71,13525,0,0,
L1_BPTX_AND_Ref4_VME,72,12878,0,0,
L1_BPTX_AND_Ref4_VME,73,12760,0,0,
L1_BPTX_AND_Ref4_VME,74,12151,0,0,
L1_BPTX_AND_Ref4_VME,75,11463,0,0,
L1_BPTX_AND_Ref4_VME,76,10892,0,0,
L1_BPTX_AND_Ref4_VME,77,10048,0,0,
L1_BPTX_AND_Ref4_VME,78,9658,0,0,
L1_BPTX_AND_Ref4_VME,79,8988,0,0,
L1_BPTX_AND_Ref4_VME,80,8117,0,0,
L1_BPTX_AND_Ref4_VME,81,7424,0,0,
L1_BPTX_AND_Ref4_VME,82,6750,0,0,
L1_BPTX_AND_Ref4_VME,83,6092,0,0,
L1_BPTX_AND_Ref4_VME,84,5364,0,0,
L1_BPTX_AND_Ref4_VME,85,4847,0,0,
L1_BPTX_AND_Ref4_VME,86,4343,0,0,
L1_BPTX_AND_Ref4_VME,87,3620,0,0,
L1_BPTX_AND_Ref4_VME,88,3162,0,0,
L1_BPTX_AND_Ref4_VME,89,2849,0,0,
L1_BPTX_AND_Ref4_VME,90,2352,0,0,
L1_BPTX_AND_Ref4_VME,91,1895,0,0,
